FirstName,Phone,Notes
John Doe,1234567890,Important client
Jane Smith,0987654321,Follow up needed
Mike Johnson,1122334455,New lead
Sarah Wilson,2233445566,VIP customer
David Brown,3344556677,Regular client
Lisa Davis,4455667788,Potential sale
Robert Miller,5566778899,Follow up in 2 weeks
Emily Garcia,6677889900,Interested in premium
Michael Rodriguez,7788990011,Price sensitive
Jennifer Martinez,8899001122,Decision maker
Christopher Anderson,9900112233,Technical contact
Amanda Taylor,1011121314,Marketing lead
Daniel Thomas,1112131415,Sales qualified
Michelle Jackson,1213141516,Hot prospect
James White,1314151617,Referral
Ashley Harris,1415161718,Long term client
Matthew Martin,1516171819,Contract renewal
Jessica Thompson,1617181920,Support ticket
Andrew Garcia,1718192021,Feature request
Stephanie Martinez,1819202122,Training needed


